County,Docket,Agency,File size,Property name,All commodities,,#,Mine Name,County,Commodity,Approx. Coordinates,Status
Emery,3841,DMEA,26 MB,"Little Susan,A & G, and Green Dragon Mines",Uranium,,41,Little Susan Group,Emery,Uranium,"38.5866, -110.9949",Inactive
Emery,3871,DMEA,39 MB,"Bi-Valve Claims, et al.",Uranium,,42,Bi-Valve Claims,Emery,Uranium,"38.9810, -110.1510",Inactive
Emery,3883,DMEA,14 MB,Sunlight Claims,Uranium,,43,Sunlight Claims,Emery,Uranium,"38.9100, -110.7000",Inactive
Emery,3897,DMEA,37 MB,Beth Claims,Uranium,,44,Beth Claims,Emery,Uranium,"38.8200, -110.5100",Inactive
Emery,3928,DMEA,80 MB,Green River Claims,Uranium,,45,Green River Claims,Emery,Uranium,"38.9800, -110.1500",Inactive
Emery,3984,DMEA,29 MB,Desert Queen Mine and State Lease,Uranium,,46,Desert Queen Mine,Emery,Uranium,"38.9700, -110.1400",Inactive
Emery,4054,DMEA,13 MB,Horsethief Canyon Property,Uranium,,47,Horsethief Canyon,Emery,Uranium,"38.5286, -109.9836",Inactive
Emery,4108,DMEA,4 MB,Mexican Seep Claims,Uranium,,48,Mexican Seep Claims,Emery,Uranium,"38.9000, -110.8000",Inactive
Emery,4160,DMEA,3 MB,"Taft, et al., Claims",Uranium,,49,"Taft, et al. Claims",Emery,Uranium,"38.9100, -110.7100",Inactive
Emery,4201,DMEA,88 MB,Dirty Devil Mine,Uranium,,50,Dirty Devil Mine,Emery,Uranium,"38.2900, -110.5100",Inactive
Emery,4210,DMEA,12 MB,North Slope and Oral Claim Groups,Uranium,,#,Mine/Property Name,County,Commodity,Approx. Coordinates,Status
Emery,4244,DMEA,37 MB,Red Butte Claims,Uranium,,,,,,,
Emery,4321,DMEA,5 MB,Headache and Sage Groups,Uranium,,51,Headache and Sage Groups,Emery,Uranium,"38.6830, -110.6720",Inactive
Emery,4584,DMEA,102 MB,"Vanura 2, et al., Claims",Uranium,,52,"Vanura 2, et al.",Emery,Uranium,"38.6510, -110.6750",Inactive
Emery,4596,DMEA,3 MB,D & R Claims,Uranium,,53,D & R Claims,Emery,Uranium,"38.7420, -110.6810",Inactive
Emery,4667,DMEA,5 MB,Cross Bow and Conrad Claims,Uranium,,54,Cross Bow and Conrad,Emery,Uranium,"38.8310, -110.8710",Inactive
Emery,4672,DMEA,2 MB,"Stormy Weather, et al., Claims",Uranium,,55,Stormy Weather Claims,Emery,Uranium,"38.6840, -110.6700",Inactive
Emery,4691,DMEA,4 MB,"Atom, et al., Claims",Uranium,,56,"Atom, et al., Claims",Emery,Uranium,"38.7050, -110.6520",Inactive
Emery,4700,DMEA,7 MB,Daisy Group,Uranium,,57,Daisy Group,Emery,Uranium,"38.9800, -110.1500",Inactive
Emery,4731,DMEA,2 MB,Doughboy Claims,Uranium,,58,Doughboy Claims,Emery,Uranium,"38.7420, -110.7890",Inactive
Emery,4745,DMEA,5 MB,Headache & Sage Claims,Uranium,,59,Headache & Sage Claims,Emery,Uranium,"38.6830, -110.6720",Inactive
Emery,4816,DMEA,3 MB,"Rachele, et al., Claims",Uranium,,60,"Rachele, et al., Claims",Emery,Uranium,"39.0540, -110.3520",Inactive
Emery,4875,DMEA,3 MB,Lucky Thirteen Uranium Claims,Uranium,,61,Lucky Thirteen Claims,Emery,Uranium,"38.9710, -110.3220",Inactive
Emery,4916,DMEA,8 MB,"Valley View, et al., Claims",Uranium,,62,"Valley View, et al.",Emery,Uranium,"38.9550, -110.3550",Inactive
Emery,6758,OME,52 MB,Blue Nose and Interstate Claims,Uranium,,63,Blue Nose and Interstate,Emery,Uranium,"38.9800, -110.1500",Inactive
Garfield,1301,DMA,3 MB,Dual No. 1 thru 14 & Harris Wash No. 1,Manganese,,64,Dual / Harris Wash,Garfield,Manganese,"37.6660, -111.2330",Inactive
Garfield,1478,DMA,27 MB,"Horse Canyon No. 1, Silver Fall 1 & 2",Uranium,,65,Horse Canyon No. 1,Garfield,Uranium,"37.8869, -111.2333",Inactive
Garfield,1685,DMA,176 MB,Happy Canyon & Hatch Canyon,Uranium,,66,Happy / Hatch Canyon,Garfield,Uranium,"38.1620, -110.2550",Inactive
Garfield,1879,DMA,25 MB,Harris Wash,Manganese,,67,Harris Wash,Garfield,Manganese,"37.6660, -111.2330",Inactive
Garfield,2371,DMEA,27 MB,Widow Mining Claims,Uranium,,68,Widow Mining Claims,Garfield,Uranium,"37.6720, -111.2010",Inactive
Garfield,2543,DMEA,22 MB,Henry Mtns District,Uranium,,69,Henry Mtns District,Garfield,Uranium,"38.0000, -110.7500",District
Garfield,3067,DMEA,5 MB,Yellow Nat Claim,Uranium,,70,Yellow Nat Claim,Garfield,Uranium,"37.8010, -111.1520",Inactive
Garfield,3115,DMEA,2 MB,Walter and Willie Claims,Uranium,,71,Walter and Willie,Garfield,Uranium,"38.1850, -110.4550",Inactive
Garfield,3220,DMEA,1 MB,None identifed,Uranium,,72,None Identified (3220),Garfield,Uranium,"37.8300, -111.1600",Unknown
Garfield,3234,DMEA,2 MB,Dirty Shame,Uranium,,73,Dirty Shame,Garfield,Uranium,"37.7550, -111.1020",Inactive
Garfield,3384,DMEA,7 MB,None identified,Uranium,,74,None Identified (3384),Garfield,Uranium,"37.8300, -111.1600",Unknown
Garfield,3493,DMEA,13 MB,Dream Group of Claims,Uranium,,75,Dream Group of Claims,Garfield,Uranium,"38.1520, -110.7520",Inactive
Garfield,3580,DMEA,3 MB,"Buckhorn,Yoyo, and Mary Claims",Uranium,,76,"Buckhorn, Yoyo, Mary",Garfield,Uranium,"38.1520, -110.7520",Inactive
Garfield,3588,DMEA,9 MB,Circle Cliffs Area,Uranium,,77,Circle Cliffs Area,Garfield,Uranium,"37.8300, -111.1600",District
Garfield,3690,DMEA,11 MB,Woodlot-Devils Furnace Claims,Uranium,,78,Woodlot-Devils Furnace,Garfield,Uranium,"38.2010, -110.8020",Inactive
Garfield,3700,DMEA,27 MB,Del Monte Group,Uranium,,79,Del Monte Group,Garfield,Uranium,"38.0550, -110.6550",Inactive
Garfield,3766,DMEA,16 MB,Honey Pot Project,Uranium,,80,Honey Pot Project,Garfield,Uranium,"38.1810, -110.8250",Inactive
Garfield,3892,DMEA,14 MB,Burr J. & Twist Groups,Uranium,,81,Burr J. & Twist Groups,Garfield,Uranium,"37.9520, -110.8520",Inactive
Garfield,3902,DMEA,10 MB,Butte Lizard and Fossil Groups,Uranium,,82,Butte Lizard / Fossil,Garfield,Uranium,"38.0550, -110.7550",Inactive
Garfield,3961,DMEA,18 MB,Ellen and Pennell Claim Groups,Uranium,,83,Ellen and Pennell,Garfield,Uranium,"38.1020, -110.8010",Inactive
Garfield,4061,DMEA,16 MB,Cliff Claims,Uranium,,84,Cliff Claims,Garfield,Uranium,"38.1520, -110.7850",Inactive
Garfield,4135,DMEA,10 MB,"Eureka Claims, etal.",Uranium,,85,"Eureka Claims, et al.",Garfield,Uranium,"38.1810, -110.8020",Inactive
Garfield,4212,DMEA,14 MB,Mt. Hillers Property,Uranium,,86,Mt. Hillers Property,Garfield,Uranium,"37.9850, -110.6550",Inactive
Garfield,4288,DMEA,11 MB,ML-7421,Uranium,,87,ML-7421,Garfield,Uranium,"38.0000, -110.7500",Inactive
Garfield,4429,DMEA,19 MB,"Canyon Claim Group, et al.",Uranium,,88,Canyon Claim Group,Garfield,Uranium,"37.9550, -110.7550",Inactive
Garfield,4559,DMEA,15 MB,"Ann Claim Group, et al.",Uranium,,89,Ann Claim Group,Garfield,Uranium,"37.9550, -110.7550",Inactive
Garfield,4834,DMEA,3 MB,"G.H.T., et al., Claims",Uranium,,90,"G.H.T., et al., Claims",Garfield,Uranium,"37.9520, -110.5550",Inactive
Garfield,6623,OME,1 MB,Gandy Dancer Claims,"Silver, copper, gold, mercury",,91,Gandy Dancer Claims,Garfield,"Ag, Cu, Au, Hg","38.0250, -110.6820",Inactive
Grand,1568,DMA,4 MB,Mary Agnes & Morie R. Claims,Tungsten,,92,Mary Agnes / Morie R.,Grand,Tungsten,"38.6510, -109.1020",Inactive
Grand,1896,DMA,95 MB,Spring Canyon -Bow Knot Bend Area,Uranium,,93,Spring Canyon Area,Grand,Uranium,"38.5460, -110.1550",Inactive
Grand,2446,DMEA,92 MB,Corvusite Mine,Uranium,,94,Corvusite Mine,Grand,Uranium,"38.6167, -109.0833",Inactive
Grand,2534,DMEA,5 MB,Juanita Group,Uranium,,95,Juanita Group,Grand,Uranium,"38.7550, -109.2550",Inactive
Grand,2591,DMEA,6 MB,Seven Mile Area Claims,Uranium,,96,Seven Mile Area,Grand,Uranium,"38.6800, -109.7200",Inactive
Grand,2594,DMEA,2 MB,Pine Tree Claims,Uranium,,97,Pine Tree Claims,Grand,Uranium,"38.6810, -109.7150",Inactive
Grand,2656,DMEA,7 MB,Seven Mile District,Uranium,,98,Seven Mile District,Grand,Uranium,"38.6800, -109.7100",Inactive
Grand,2703,DMEA,4 MB,Calderwood Claims,Uranium,,99,Calderwood Claims,Grand,Uranium,"38.8550, -109.3520",Inactive
Grand,2970,DMEA,3 MB,Horsethief Nos. 3 & 4 Claims,Uranium,,100,Horsethief Claims,Grand,Uranium,"38.5286, -109.9836",Inactive
Grand,2978,DMEA,1 MB,Klondike Group,Uranium,,101,Klondike Group,Grand,Uranium,"38.8500, -109.3550",Inactive
Grand,3060,DMEA,66 MB,Shinarump Claims,Uranium,,102,Shinarump Claims,Grand,Uranium,"38.6667, -109.6333",Inactive
Grand,3164,DMEA,5 MB,Blue Chief Mesa Claims,Uranium,,103,Blue Chief Mesa Claims,Grand,Uranium,"38.5820, -109.1550",Inactive
Grand,3281,DMEA,23 MB,Last Chance and Ring Cone Claims,Uranium,,104,Last Chance & Ring Cone,Grand,Uranium,"38.6550, -109.2550",Inactive
Grand,3353,DMEA,12 MB,Dewey Rim Mining Claims,Uranium,,105,Dewey Rim Claims,Grand,Uranium,"38.8120, -109.3020",Inactive
Grand,3358,DMEA,9 MB,Arrow Smith and Slide Claims,"Uranium, cobalt",,106,Arrow Smith & Slide,Grand,"Uranium, Cobalt","38.8050, -109.2850",Inactive
Grand,3360,DMEA,74 MB,None identified,Uranium,,107,None Identified (3360),Grand,Uranium,"38.7500, -109.5000",Unknown
Grand,3471,DMEA,12 MB,"Mile High Security, et al. Claims",Uranium,,108,Mile High Security,Grand,Uranium,"38.8550, -109.3820",Inactive
Grand,3490,DMEA,15 MB,U-V and Elk Van Claims,Uranium,,109,U-V & Elk Van Claims,Grand,Uranium,"38.8820, -109.4520",Inactive
Grand,3514,DMEA,150 MB,"La Sal and Bonanza Claims, et al.",Uranium,,110,La Sal and Bonanza,Grand,Uranium,"38.3120, -109.2550",Inactive/Standby
Grand,3531,DMEA,9 MB,Dewey and S La Sal Prospects,Uranium,,111,Dewey & S La Sal,Grand,Uranium,"38.8100, -109.3000",Inactive
Grand,3593,DMEA,28 MB,Primero and Derecho claim groups,Uranium,,112,Primero & Derecho,Grand,Uranium,"38.8450, -109.4220",Inactive
Grand,3613,DMEA,50 MB,Lease on Copper No.2 and Copper No. 28 Claims,Uranium,,113,Copper No.2 & No.28,Grand,Uranium,"38.7250, -109.1550",Inactive
Grand,3640,DMEA,5 MB,Joy Group of Claims,Uranium,,114,Joy Group of Claims,Grand,Uranium,"38.8150, -109.3520",Inactive
Grand,3660,DMEA,80 MB,Pond ans Shubert Groups,Uranium,,115,Pond & Shubert Groups,Grand,Uranium,"38.8350, -109.4120",Inactive
Grand,3665,DMEA,10 MB,"Jim, Mike, and Star claim group",Uranium,,116,"Jim, Mike, & Star",Grand,Uranium,"38.8420, -109.4050",Inactive
Grand,3675,DMEA,52 MB,Yellow Bird Claims,Uranium,,117,Yellow Bird Claims,Grand,Uranium,"38.8320, -109.3950",Inactive
Grand,3732,DMEA,21 MB,"Klondike, et al., Claims",Uranium,,118,"Klondike, et al.",Grand,Uranium,"38.8500, -109.3550",Inactive
Grand,3791,DMEA,144 MB,Big Flat Area,Uranium,,119,Big Flat Area,Grand,Uranium,"38.4850, -109.8220",Inactive
Grand,3829,DMEA,17 MB,"Red Claims, et al.",Uranium,,120,"Red Claims, et al.",Grand,Uranium,"38.8250, -109.3850",Inactive
Grand,3843,DMEA,8 MB,Mac & Wilkins Claims,Uranium,,121,Mac & Wilkins Claims,Grand,Uranium,"38.8450, -109.4120",Inactive
Grand,3845,DMEA,2 MB,School Section 36,Uranium,,122,School Section 36,Grand,Uranium,"38.8520, -109.3550",Inactive
Grand,3857,DMEA,30 MB,L & H Mine,Uranium,,123,L & H Mine,Grand,Uranium,"38.7550, -109.2820",Inactive
Grand,3962,DMEA,62 MB,Utah Mineral Lease No. 3971,Uranium,,124,State Lease No. 3971,Grand,Uranium,"38.8500, -109.4000",Inactive
Grand,4031,DMEA,8 MB,"Bear Point No. 1, et al, Calims",Uranium,,125,Bear Point No. 1,Grand,Uranium,"38.8450, -109.4250",Inactive
Grand,4043,DMEA,5 MB,Lucky Boy and Scat Claims,Uranium,,126,Lucky Boy & Scat,Grand,Uranium,"38.8320, -109.4120",Inactive
